[16:18:26] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:18:27] [main.cpp:86] [INFO]:  Window successfully created!
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.508039
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.456364
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.510391
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.484122
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.508121
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 4.348406
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 1.550104
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 1.920066
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 3.037377
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 1.816474
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.799280
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.134599
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.519230
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.457502
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.575553
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.524527
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.342881
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.990573
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.124124
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.309484
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.683248
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.325825
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.616621
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.457597
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.567083
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.420034
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.600940
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.495142
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.492004
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.397393
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.528283
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.445074
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.516211
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.557191
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.402576
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 3.412729
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 1.691333
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.457880
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.519386
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.514559
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.459268
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.555223
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.541415
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.444643
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.398646
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.679074
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.443440
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.501661
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 3.010278
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.491016
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 1.950904
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 3.021895
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.414800
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.217160
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.727882
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.143898
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.662154
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.350776
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.566039
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.426993
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.521132
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.491293
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.561463
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.521423
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.420147
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.694255
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.328039
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.442438
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.468178
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.575161
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.789825
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.293537
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.536467
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.365337
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.909147
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.265706
